taxa,max,min,median,mean,sd
Abiotrophia,0,0,0,0,0
Acetanaerobacterium,0.0049,0,0,0.000184337,0.000856465
Acetitomaculum,0.4247,0,0,0.010796386,0.049001345
Acetivibrio,0.0057,0,0,6.86747E-05,0.000625656
Achromobacter,0.1781,0,0,0.002477108,0.019662533
Acidaminococcus,0.1387,0,0,0.004059036,0.021122725
Acidicaldus,0,0,0,0,0
Acidicapsa,0,0,0,0,0
Acidiphilium,0,0,0,0,0
Aciditerrimonas,0,0,0,0,0
Acidobacterium,0,0,0,0,0
Acidothermus,0,0,0,0,0
Acidovorax,0,0,0,0,0
Acinetobacter,0.716,0,0,0.008775904,0.078580508
Actinobacillus,0.0447,0,0,0.001027711,0.005934178
Actinobaculum,0.908,0,0,0.011319277,0.099640528
Actinomyces,0.3206,0,0,0.020504819,0.053617455
Actinomycetospora,0,0,0,0,0
Actinoplanes,0,0,0,0,0
Actinotalea,0,0,0,0,0
Adhaeribacter,0,0,0,0,0
Adlercreutzia,0.3711,0,0.0261,0.066849398,0.087155795
Aerococcus,0.6976,0,0,0.008974699,0.076553799
Aeromicrobium,0,0,0,0,0
Aeromonas,0.0191,0,0,0.00023012,0.002096497
Aerosphaera,0.0222,0,0,0.000331325,0.002498337
Afipia,0,0,0,0,0
Aggregatibacter,0.029,0,0,0.000580723,0.003599304
Agrococcus,0,0,0,0,0
Akkermansia,19.1569,0,0.1917,1.455755422,3.00102039
Albidovulum,0,0,0,0,0
Alistipes,16.8216,0,1.3955,2.148831325,2.688312774
Alkanindiges,0,0,0,0,0
Allisonella,0.1509,0,0,0.003046988,0.017278983
Allobaculum,0,0,0,0,0
Alloiococcus,0,0,0,0,0
Alloprevotella,1.9366,0,0,0.052755422,0.291105947
Alloscardovia,0.1633,0,0,0.002360241,0.018017748
Altererythrobacter,0,0,0,0,0
Alysiella,0,0,0,0,0
Amaricoccus,0,0,0,0,0
Ameyamaea,0.0038,0,0,4.57831E-05,0.000417104
Amnibacterium,0,0,0,0,0
Anaerobacillus,0.2672,0,0,0.003219277,0.02932901
Anaerobacter,0.0069,0,0,8.31325E-05,0.000757373
Anaerococcus,8.8148,0,0.0128,0.368121687,1.216090931
Anaerofilum,0.0242,0,0,0.002272289,0.004798077
Anaerofustis,0.0144,0,0,0.00096506,0.002802587
Anaeroglobus,0.0097,0,0,0.000366265,0.001579771
Anaeromyxobacter,0,0,0,0,0
Anaeroplasma,4.191,0,0,0.08676988,0.541589589
Anaerosporobacter,2.8314,0,0,0.117879518,0.41558033
Anaerostipes,31.516,0.1127,1.2505,2.644695181,4.667718264
Anaerotruncus,9.4886,0,0.4058,1.42013012,2.340276807
Anaerovorax,0.0184,0,0,0.000221687,0.002019662
Angustibacter,0,0,0,0,0
Anoxybacillus,0,0,0,0,0
Aquabacterium,0,0,0,0,0
Aquicella,0,0,0,0,0
Aquimonas,0,0,0,0,0
Arcanobacterium,0.0078,0,0,0.000136145,0.00093412
Arenibacter,0,0,0,0,0
Arenimonas,0,0,0,0,0
Arthrobacter,0.7333,0,0,0.013215663,0.083065863
Asaccharospora,1.7373,0,0,0.087857831,0.265271419
Asteroleplasma,5.5081,0,0,0.085524096,0.625120973
Asticcacaulis,0,0,0,0,0
Atopobium,0.8596,0,0,0.021712048,0.104489531
Aurantimonas,0,0,0,0,0
Auritidibacter,0,0,0,0,0
Azospira,0.0023,0,0,2.77108E-05,0.000252458
Bacillus,0.0519,0,0,0.001461446,0.006906586
Bacteriovorax,0,0,0,0,0
Bacteroides,53.8456,0.3673,18.8578,20.91504819,12.74474651
Barnesiella,6.9673,0,0.1744,0.691362651,1.304968838
Bauldia,0,0,0,0,0
Bdellovibrio,0,0,0,0,0
Beijerinckia,0,0,0,0,0
Belnapia,0,0,0,0,0
Bergeriella,0,0,0,0,0
Bergeyella,0,0,0,0,0
Bifidobacterium,38.6586,0,0.1799,1.951262651,5.900950279
Bilophila,2.1607,0,0.136,0.272804819,0.40027082
Blastocatella,0,0,0,0,0
Blastochloris,0,0,0,0,0
Blastococcus,0,0,0,0,0
Blastomonas,0,0,0,0,0
Blautia,27.8993,1.8548,10.3843,10.62719639,5.08511588
Bordetella,0,0,0,0,0
Bosea,0,0,0,0,0
Brachybacterium,0.0153,0,0,0.00023253,0.00173065
Bradyrhizobium,0.0049,0,0,0.000113253,0.000637405
Brevibacterium,0.625,0,0,0.024326506,0.103967487
Brevundimonas,0.0035,0,0,4.21687E-05,0.000384175
Brochothrix,0,0,0,0,0
Bryobacter,0,0,0,0,0
Bulleidia,0,0,0,0,0
Burkholderia,0,0,0,0,0
Butyricicoccus,0.1914,0,0,0.00579759,0.026410581
Butyricimonas,1.2084,0,0.0618,0.180890361,0.262785767
Butyrivibrio,2.2067,0,0,0.126550602,0.405966164
Caldicoprobacter,0.0266,0,0,0.000360241,0.002937725
Caldimonas,0,0,0,0,0
Caloramator,0,0,0,0,0
Campylobacter,4.6341,0,0,0.09500241,0.513255499
Candidatus Alysiosphaera,0,0,0,0,0
Candidatus Cardinium,0,0,0,0,0
Candidatus Koribacter,0,0,0,0,0
Candidatus Microthrix,0,0,0,0,0
Candidatus Saccharimonas,0,0,0,0,0
Candidatus Soleaferrea,0.0738,0,0.0024,0.006055422,0.010789824
Candidatus Solibacter,0,0,0,0,0
Candidatus Stoquefichus,0.0541,0,0,0.002871084,0.010736563
Candidatus Xiphinematobacter,0,0,0,0,0
Capnocytophaga,0,0,0,0,0
Cardiobacterium,0,0,0,0,0
Carnimonas,0,0,0,0,0
Carnobacterium,0.0053,0,0,6.38554E-05,0.000581751
Catabacter,0.0124,0,0,0.001040964,0.002551615
Catenibacterium,2.4426,0,0,0.079526506,0.30269287
Catonella,0,0,0,0,0
Caulobacter,0,0,0,0,0
Cellulomonas,0,0,0,0,0
Cellulosilyticum,0.0291,0,0,0.000798795,0.004010276
Cellvibrio,0,0,0,0,0
Centipeda,0,0,0,0,0
Chitinophaga,0,0,0,0,0
Christensenella,0.0039,0,0,0.000137349,0.000632207
Chroococcidiopsis,0,0,0,0,0
Chryseobacterium,0,0,0,0,0
Chthoniobacter,0,0,0,0,0
Citrobacter,0.0749,0,0,0.00226506,0.010397085
Cloacibacillus,0.5509,0,0,0.015880723,0.075156436
Cloacibacterium,0.1781,0,0,0.002145783,0.019549015
Clostridium,2.7697,0,0.6435,0.798350602,0.535357241
Cohnella,0,0,0,0,0
Collinsella,6.5146,0.0055,1.2206,1.623948193,1.222029752
Comamonas,0.0376,0,0,0.001027711,0.005470972
Conchiformibius,0,0,0,0,0
Conexibacter,0,0,0,0,0
Coprobacillus,0.0124,0,0,0.000278313,0.00160571
Coprobacter,0.4813,0,0,0.012185542,0.060978817
Corynebacterium,14.3965,0,0.0095,0.548780723,1.854270445
Crenotalea,0,0,0,0,0
Crocinitomix,0,0,0,0,0
Cronobacter,0.0151,0,0,0.00026747,0.001822897
Crossiella,0,0,0,0,0
Cryobacterium,0.0095,0,0,0.000193976,0.001262436
Cryptobacterium,0,0,0,0,0
Cryptosporangium,0,0,0,0,0
Curtobacterium,0,0,0,0,0
Curvibacter,0,0,0,0,0
Dechloromonas,0,0,0,0,0
Defluviicoccus,0,0,0,0,0
Defluviimonas,0,0,0,0,0
Deinococcus,0.0093,0,0,0.000112048,0.001020808
Delftia,0.7795,0,0,0.021108434,0.109774713
Dermabacter,0.0528,0,0,0.00259759,0.010098575
Desulfotomaculum,0,0,0,0,0
Desulfovibrio,2.5641,0,0.0191,0.308422892,0.623383927
Devosia,0,0,0,0,0
Dialister,4.4186,0,0.0244,0.431109639,0.829829046
Dielma,0.1018,0,0,0.005406024,0.014171169
Dietzia,0.016,0,0,0.000192771,0.001756228
Dokdonella,0,0,0,0,0
Dolosigranulum,0.0055,0,0,6.62651E-05,0.000603703
Dongia,0,0,0,0,0
Dorea,4.5541,0.0661,1.1234,1.306907229,0.88462838
Edaphobacter,0,0,0,0,0
Eggerthella,0.2686,0,0.0047,0.025448193,0.045323962
Eggerthia,0,0,0,0,0
Eikenella,0,0,0,0,0
Eisenbergiella,1.8372,0,0,0.035921687,0.204813967
Elusimicrobium,0,0,0,0,0
