"","taxa","max","min","median","mean","sd","healthy"
"1","Acetitomaculum",0.1468,0,0,0.00342686567164179,0.0189375735389275,0.4247
"2","Acetivibrio",0.0029,0,0,0.0000432835820895522,0.000354291388633285,0.0305
"3","Achromobacter",0,0,0,0,0,0.1781
"4","Acinetobacter",0.0026,0,0,0.0000388059701492537,0.000317640555326394,0.716
"5","Actinobaculum",0,0,0,0,0,0.908
"6","Actinomyces",0.2372,0,0.0045,0.0209223880597015,0.0464858428135874,0.3206
"7","Aerococcus",0.0028,0,0,0.0000417910447761194,0.000342074444197655,0.6976
"8","Aeromonas",0,0,0,0,0,0.0191
"9","Aerosphaera",0.021,0,0,0.000441791044776119,0.00275758728830945,0.0222
"10","Akkermansia",4.8841,0,0.0099,0.404768656716418,0.964264511398251,19.1569
"11","Alistipes",9.8734,0,0.8468,1.52847313432836,1.81176404657986,16.8216
"12","Allisonella",0.1143,0,0,0.00304776119402985,0.0154169560157183,0.1509
"13","Alloscardovia",0,0,0,0,0,0.1633
"14","Ameyamaea",0,0,0,0,0,0.0038
"15","Anaerobacillus",0.0678,0,0,0.00101194029850746,0.00828308832735749,0.2672
"16","Anaerococcus",4.9954,0,0,0.164122388059701,0.650429932597242,8.8148
"17","Anaerofustis",0.0065,0,0,0.000576119402985075,0.00149849313728712,0.0144
"18","Anaeroplasma",0,0,0,0,0,4.191
"19","Anaerosporobacter",0.4531,0,0,0.0109,0.0559537065146472,2.8314
"20","Anaerostipes",13.5927,0,1.4591,1.96521343283582,1.96926321361919,31.516
"21","Anaerotruncus",5.6155,0,0.2141,0.717394029850746,1.17262004539958,9.4886
"22","Arthrobacter",0.0606,0,0,0.000904477611940299,0.0074034683279921,0.7333
"23","Asaccharospora",0.9256,0,0,0.0498119402985075,0.148033619771124,1.7373
"24","Asteroleplasma",0.0312,0,0,0.00104179104477612,0.00487022957749369,5.5081
"25","Atopobium",0.0505,0,0,0.00195074626865672,0.00794529350172694,0.8596
"26","Azospira",0,0,0,0,0,0.0023
"27","Barnesiella",4.0687,0,0.1814,0.68335223880597,0.977092427525017,6.9673
"28","Bifidobacterium",10.6091,0,0.2289,0.933292537313433,1.89640856367978,38.6586
"29","Bilophila",2.0709,0,0.1217,0.238126865671642,0.361899965075772,2.1607
"30","Blautia",27.741,0.0068,12.194,12.4282119402985,5.22135522276348,27.8993
